# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::StringValueInfo, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] profile_path_perm
     0.00%  duckdb   duckdb                                                             [.] duckdb::StringStats::MaxStringLength(duckdb::BaseStatistics const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] fput
     0.00%  duckdb   duckdb                                                             [.] extent_merge_impl.isra.0
     0.00%  duckdb   duckdb                                                             [.] std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@plt
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __dm_io_complete
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>::AssertNotNull(bool)
     0.00%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::StartOperator(duckdb::PhysicalOperator&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_start_range_ns
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ktime_get_coarse_real_ts64
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] flush_tlb_mm_range
     0.00%  duckdb   duckdb                                                             [.] duckdb::AllocateBlock(duckdb::BlockManager&, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>, long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] fsnotify
     0.00%  duckdb   duckdb                                                             [.] duckdb::optional_idx::GetIndex() const [clone .isra.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_start
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_end
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::NextScanIndex(duckdb::TupleDataScanState&, unsigned long&, unsigned long&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedHashTable::GetData(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::GlobalSinkState&, duckdb::OperatorSourceInput&) const
     0.00%  duckdb   duckdb                                                             [.] duckdb::FlatVector::VerifyFlatVector(duckdb::Vector const&) [clone .isra.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] madvise_walk_vmas
     0.00%  duckdb   duckdb                                                             [.] duckdb::RowOperations::CombineStates(duckdb::RowOperationsState&, duckdb::TupleDataLayout&, duckdb::Vector&, duckdb::Vector&, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::RowOperations::FinalizeStates(duckdb::RowOperationsState&, duckdb::TupleDataLayout&, duckdb::Vector&, duckdb::DataChunk&, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __bpf_prog_exit_recur
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] fq_ring_free_locked
     0.00%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::ResizeThreshold(unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vm_mmap_pgoff
     0.00%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::HashAggregateGroupingData, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::DataChunk::Append(duckdb::DataChunk const&, bool, duckdb::SelectionVector*, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::SelectionVector::SelectionVector(unsigned long) [clone .constprop.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] syscall_exit_to_user_mode
     0.00%  duckdb   duckdb                                                             [.] duckdb::TaskScheduler::GetTaskFromProducer(duckdb::ProducerToken&, duckdb::shared_ptr<duckdb::Task, true>&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __smp_call_single_queue
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::StringValueInfo, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
     0.00%  duckdb   duckdb                                                             [.] duckdb::DataChunk::DataChunk()
     0.00%  duckdb   duckdb                                                             [.] duckdb::PersistentColumnData::PersistentColumnData(duckdb::PhysicalType)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] native_send_call_func_ipi
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rwsem_down_read_slowpath
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] unmap_page_range
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char)
     0.00%  duckdb   duckdb                                                             [.] duckdb::FileBuffer::Init()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __set_next_task_fair.part.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] path_name
     0.00%  duckdb   duckdb                                                             [.] duckdb::FileBuffer::Initialize(duckdb::DebugInitialize)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rcu_stall_kick_kthreads
     0.00%  duckdb   duckdb                                                             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()@plt
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::VectorStringBuffer, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)@plt
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ttwu_do_activate
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] update_rt_rq_load_avg
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ih_v6_0_set_rptr
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_peak_dalloc_event_handler
     0.00%  duckdb   bpf_prog_171c10bd0338eaa9_mem_vma_vm_mmap_pgoff_fexit_248          [k] bpf_prog_171c10bd0338eaa9_mem_vma_vm_mmap_pgoff_fexit_248
     0.00%  duckdb   duckdb                                                             [.] duckdb::NumericStats::Min(duckdb::BaseStatistics const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __cond_resched
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] futex_wake
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::InitializeScan(duckdb::TupleDataScanState&, duckdb::vector<unsigned long, true>, duckdb::TupleDataPinProperties) const
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::JoinHashTable, std::default_delete<duckdb::JoinHashTable>, true>::AssertNotNull(bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vms_complete_munmap_vmas
     0.00%  duckdb   duckdb                                                             [.] duckdb::StringTypeInfo::EqualsInternal(duckdb::ExtraTypeInfo*) const
     0.00%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::GetAllocator() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::DBConfig::GetSettingInternal(duckdb::DatabaseInstance const&, char const*, char const*)
     0.00%  duckdb   duckdb                                                             [.] duckdb::PhysicalHashAggregate::GetData(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::OperatorSourceInput&) const
     0.00%  duckdb   duckdb                                                             [.] duckdb::RowGroup::GetVersionInfo()
     0.00%  duckdb   duckdb                                                             [.] duckdb::Allocator::Get(duckdb::DatabaseInstance&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_active
     0.00%  duckdb   duckdb                                                             [.] duckdb::BoundFunctionExpression const& duckdb::BaseExpression::Cast<duckdb::BoundFunctionExpression>() const
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] operator new[](unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::TaskNotifier::~TaskNotifier()
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferManager::GetBufferManager(duckdb::ClientContext&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BinaryDeserializer::OnNullableEnd()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __memcg_slab_free_hook
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __fprop_add_percpu
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] sched_balance_domains
     0.00%  duckdb   duckdb                                                             [.] duckdb::optional_idx::GetIndex() const [clone .isra.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] note_gp_changes
     0.00%  duckdb   duckdb                                                             [.] std::vector<duckdb::TupleDataVectorFormat, std::allocator<duckdb::TupleDataVectorFormat> >::~vector()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] arch_scale_cpu_capacity
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_pre
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::AppendUnified(duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, duckdb::DataChunk&, duckdb::SelectionVector const&, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] pthread_mutex_lock@plt
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] tmigr_handle_remote
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __pte_alloc
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] raw_notifier_call_chain
     0.00%  duckdb   duckdb                                                             [.] duckdb::CountZeros<unsigned long>::Leading(unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferPool::UpdateUsedMemory(duckdb::MemoryTag, long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] folio_mapping
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] calc_global_load_tick
     0.00%  duckdb   duckdb                                                             [.] duckdb::NopLogger::~NopLogger()
     0.00%  duckdb   duckdb                                                             [.] duckdb::BaseStatistics::GetStatsType(duckdb::LogicalType const&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::VectorCache::GetType() const
     0.00%  duckdb   bpf_prog_9325528349c3f180_save_and_send_event                      [k] bpf_prog_9325528349c3f180_save_and_send_event
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] error_return
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] apparmor_lsmprop_to_secctx
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::TupleDataAllocator(duckdb::BufferManager&, duckdb::shared_ptr<duckdb::TupleDataLayout, true>&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Select(duckdb::Expression const&, duckdb::ExpressionState*, duckdb::SelectionVector const*, unsigned long, duckdb::SelectionVector*, duckdb::SelectionVector*)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rcu_segcblist_insert_done_cbs
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dal_irq_service_ack
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __wake_up_common
     0.00%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::Sink(duckdb::DataChunk&, duckdb::OperatorSinkInput&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] run_timer_softirq
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] tlb_finish_mmu
     0.00%  duckdb   duckdb                                                             [.] duckdb::optional_ptr<duckdb::CompressionFunction, true>::CheckValid() const [clone .isra.0]
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::DefaultCastAs(duckdb::LogicalType const&, bool) const
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_tcache_gc_dalloc_new_event_wait
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_d_path
     0.00%  duckdb   duckdb                                                             [.] operator delete[](void*)@plt
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] clone_endio
     0.00%  duckdb   duckdb                                                             [.] duckdb::MetaBlockPointer::GetBlockId() const
     0.00%  duckdb   duckdb                                                             [.] void duckdb::ComputePartitionIndicesFunctor::Operation<0ul>(duckdb::Vector&, duckdb::Vector&, unsigned long, duckdb::SelectionVector const&, unsigned long) [clone .isra.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dget_parent
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] put_prev_task_fair
     0.00%  duckdb   duckdb                                                             [.] duckdb::DeserializeNumericStatsValue(duckdb::LogicalType const&, duckdb::NumericValueUnion&, bool&, duckdb::Deserializer&)
     0.00%  duckdb   libgcc_s.so.1                                                      [.] __popcountdi2
     0.00%  duckdb   duckdb                                                             [.] duckdb::MetadataReader::Ptr()
     0.00%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::Reset()
     0.00%  duckdb   duckdb                                                             [.] duckdb::FileBuffer::Resize(duckdb::BlockManager&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] idr_get_free
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataChunkIterator::Reset()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] delay_halt_mwaitx
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] security_vm_enough_memory_mm
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] get_jiffies_update
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_extent_dss_mergeable
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __pmu_ctx_sched_out
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] first_pte_l7
     0.00%  duckdb   duckdb                                                             [.] duckdb::optional_idx::GetIndex() const [clone .isra.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] kick_pool
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aa_audit
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] path_put
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] generic_smp_call_function_single_interrupt
     0.00%  duckdb   bpf_prog_2ac4a2a032cea832_mem_vma___x64_sys_mprotect_kprobe_139    [k] bpf_prog_2ac4a2a032cea832_mem_vma___x64_sys_mprotect_kprobe_139
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __put_task_struct
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferPool::EvictBlocksInternal(duckdb::EvictionQueue&, duckdb::MemoryTag, unsigned long, unsigned long, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>*)
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::TemplatedValidityData<unsigned char>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] get_mm_exe_file
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] enqueue_hrtimer
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __bpf_prog_enter_recur
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __tcp_send_ack.part.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aa_label_merge
     0.00%  duckdb   duckdb                                                             [.] void std::vector<duckdb::VectorCache, std::allocator<duckdb::VectorCache> >::_M_realloc_insert<duckdb::VectorCache>(__gnu_cxx::__normal_iterator<duckdb::VectorCache*, std::vector<duckdb::VectorCache, std::allocator<duckdb::VectorCache> > >, duckdb::VectorCache&&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] iommu_v1_unmap_pages
     0.00%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedTupleData::ComputePartitionIndices(duckdb::Vector&, unsigned long, duckdb::Vector&, duckdb::unique_ptr<duckdb::Vector, std::default_delete<duckdb::Vector>, true>&) const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] migrate_enable
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ___slab_alloc
     0.00%  duckdb   duckdb                                                             [.] duckdb::ColumnData::FetchUpdates(duckdb::TransactionData, unsigned long, duckdb::Vector&, unsigned long, bool, bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] crypt_endio
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ath11k_dp_rx_process_mon_rings
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] pwq_tryinc_nr_active
     0.00%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::Count() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] btrfs_file_read_iter
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __bitmap_and
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] tmigr_next_groupevt
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::MinimumValue(duckdb::LogicalType const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ptep_clear_flush
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ath11k_ce_rx_post_pipe
     0.00%  duckdb   duckdb                                                             [.] std::vector<duckdb::TupleDataScatterFunction, std::allocator<duckdb::TupleDataScatterFunction> >::~vector()
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] operator new(unsigned long)@plt
     0.00%  duckdb   bpf_prog_8024932274e1de5f_fs_write_vm_mmap_pgoff_fexit_23          [k] bpf_prog_8024932274e1de5f_fs_write_vm_mmap_pgoff_fexit_23
     0.00%  duckdb   duckdb                                                             [.] duckdb_fsst_import
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] tracing_record_taskinfo_sched_switch
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferHandle::BufferHandle(duckdb::BufferHandle&&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::Value(duckdb::LogicalType)
     0.00%  duckdb   duckdb                                                             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_emap_merge_commit
     0.00%  duckdb   duckdb                                                             [.] duckdb::PrivateAllocatorData::~PrivateAllocatorData()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] init_multi_vma_prep
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] blk_mq_complete_request_remote
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] profile_pc
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __mod_memcg_state
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] kick_ilb
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::Unpin()
     0.00%  duckdb   duckdb                                                             [.] duckdb::RowGroup::HasUnloadedDeletes() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] local_clock_noinstr
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] fast_mix
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] drm_crtc_vblank_helper_get_vblank_timestamp_internal
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] cyc2ns_read_begin
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataGetGatherFunctionInternal(duckdb::LogicalType const&, bool)
     0.00%  duckdb   duckdb                                                             [.] duckdb::DebugVectorVerification duckdb::EnumUtil::FromString<duckdb::DebugVectorVerification>(char const*)
     0.00%  duckdb   duckdb                                                             [.] duckdb::UncompressedStringStorage::StringInitSegment(duckdb::ColumnSegment&, long, duckdb::optional_ptr<duckdb::ColumnSegmentState, true>)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] generic_exec_single
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] strnlen
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] kmem_cache_alloc_node_noprof
     0.00%  duckdb   duckdb                                                             [.] duckdb::ColumnSegment::InitializeScan(duckdb::ColumnScanState&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] tick_program_event
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_edata_heap_empty
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] apparmor_release_secctx
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_prev_slot
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rcu_segcblist_pend_cbs
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] from_kgid
     0.00%  duckdb   duckdb                                                             [.] duckdb::Vector::Slice(duckdb::Vector const&, duckdb::SelectionVector const&, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] make_vfsuid
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] bio_uninit
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_deleter<duckdb::HashJoinFinalizeTask*, std::default_delete<duckdb::HashJoinFinalizeTask>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.00%  duckdb   duckdb                                                             [.] void std::vector<duckdb::DataPointer, std::allocator<duckdb::DataPointer> >::_M_realloc_insert<duckdb::DataPointer>(__gnu_cxx::__normal_iterator<duckdb::DataPointer*, std::vector<duckdb::DataPointer, std::allocator<duckdb::DataPointer> > >, duckdb::DataPointer&&)
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::VectorChildBuffer, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] btrfs_finish_ordered_extent
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::TupleDataCollection(duckdb::BufferManager&, duckdb::shared_ptr<duckdb::TupleDataLayout, true>)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] cap_vm_enough_memory
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dequeue_entities
     0.00%  duckdb   duckdb                                                             [.] duckdb::SingleFileBlockManager::ReadAndChecksum(duckdb::QueryContext, duckdb::FileBuffer&, unsigned long, bool) const
     0.00%  duckdb   duckdb                                                             [.] duckdb::UnifiedVectorFormat::~UnifiedVectorFormat()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] get_partial_node.part.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] bbio_has_ordered_extent
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] arch_perf_update_userpage
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] schedule_debug.isra.0
     0.00%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::Allocate(duckdb::MemoryTag, unsigned long, bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_cgroup_switch
     0.00%  duckdb   duckdb                                                             [.] duckdb::PhysicalHashAggregate::CanSkipRegularSink() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] note_interrupt
     0.00%  duckdb   duckdb                                                             [.] duckdb::Allocator::~Allocator()
     0.00%  duckdb   duckdb                                                             [.] duckdb::RadixHTGlobalSourceState::AssignTask(duckdb::RadixHTGlobalSinkState&, duckdb::RadixHTLocalSourceState&, duckdb::InterruptState&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __put_partials
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] end_bbio_meta_write
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] wbt_rqw_done
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] update_fast_timekeeper
     0.00%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleDataAppendState::~PartitionedTupleDataAppendState()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] wbt_data_dir
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] group_sched_out
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] free_frozen_pages
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] up_write
     0.00%  duckdb   duckdb                                                             [.] duckdb::BlockHandle::BlockHandle(duckdb::BlockManager&, long, duckdb::MemoryTag, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>, duckdb::DestroyBufferUpon, unsigned long, duckdb::BufferPoolReservation&&)
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::TupleDataAllocator, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] native_flush_tlb_local
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] change_pmd_range.isra.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] task_tick_mm_cid
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __iommu_unmap
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] calc_global_load
     0.00%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::Verify() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] amd_iommu_domain_flush_pages
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dump_common_audit_data
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] put_cpu_partial
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] atime_needs_update
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::GetScatterFunction(duckdb::LogicalType const&, bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] copy_cmd_to_buffer
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dequeue_task
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] apparmor_file_permission
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] event_sched_out
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __blk_mq_end_request
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __free_pages
     0.00%  duckdb   libc.so.6                                                          [.] __GI___pthread_disable_asynccancel
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] make_vfsgid
     0.00%  duckdb   duckdb                                                             [.] void duckdb::AggregateFunction::NullaryScatterUpdate<long, duckdb::(anonymous namespace)::CountStarFunction>(duckdb::Vector*, duckdb::AggregateInputData&, unsigned long, duckdb::Vector&, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] jiffies_to_usecs
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] lapic_next_event
     0.00%  duckdb   duckdb                                                             [.] duckdb::SerializationData::SerializationData()
     0.00%  duckdb   duckdb                                                             [.] duckdb::LogicalType::LogicalType(duckdb::LogicalType const&)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_arena_handle_deferred_work
     0.00%  duckdb   duckdb                                                             [.] duckdb::ClientData::Get(duckdb::ClientContext&)
     0.00%  duckdb   duckdb                                                             [.] std::_Function_handler<void (duckdb::Expression const&), duckdb::Expression::IsConsistent() const::{lambda(duckdb::Expression const&)#1}>::_M_invoke(std::_Any_data const&, duckdb::Expression const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_next_slot
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __rq_qos_done
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] amd_iommu_flush_iotlb_all
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] wake_page_function
     0.00%  duckdb   duckdb                                                             [.] duckdb::RowGroupCollection::GetTypes() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::BufferAllocatorAllocate(duckdb::PrivateAllocatorData*, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::RowGroup::GetBlockManager()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] btrfs_init_work
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] refill_stock
